ProjectName  Innovation  Value & Impact  Completeness  Technical Implementation  Overall Score
  Project 4        2.67            3.67          4.67                      3.00           3.50
  Project 5        3.00            2.67          4.67                      3.33           3.42
  Project 8        4.33            3.00          3.00                      3.00           3.33
 Project 11        2.00            4.33          3.67                      3.00           3.25
 Project 16        3.33            3.33          2.67                      3.67           3.25
 Project 20        3.00            1.33          3.67                      4.33           3.08
 Project 12        2.67            2.67          3.67                      3.33           3.08
 Project 13        3.33            3.33          2.00                      3.33           3.00
  Project 7        3.67            3.00          2.67                      2.67           3.00
  Project 9        2.67            3.00          3.67                      2.67           3.00
 Project 19        1.67            4.00          2.67                      3.33           2.92
 Project 10        2.67            2.33          4.33                      2.00           2.83
  Project 3        2.33            2.67          3.67                      2.67           2.83
 Project 18        4.33            3.00          2.00                      2.00           2.83
  Project 6        4.00            3.67          1.67                      2.00           2.83
 Project 14        1.00            3.33          2.33                      3.67           2.58
 Project 15        3.00            1.33          3.67                      2.33           2.58
  Project 2        3.67            1.33          2.67                      2.67           2.58
  Project 1        2.00            3.00          2.67                      2.33           2.50
 Project 17        1.33            2.67          1.33                      2.67           2.00
